num_tokens,latency,prediction,type,question
515,0.6833376884460449,0,0,Tell me about 'Strategic Management (Quickstudy: Business)'.
517,0.6017253398895264,0,0,Tell me about 'Palm Pre Clear LCD Screen Protector w/Clean Cloth'.
519,0.7810604572296143,0,0,Tell me about 'ACDelco LS98 GM Original Equipment Multi-Purpose Lamp Socket'.
509,0.6559436321258545,0,0,Tell me about 'Tattoo'.
520,0.8260774612426758,0,0,Tell me about 'Irwin #MPS1714 12&quot; Carpenter Pull Saw'.
535,0.6000685691833496,0,0,Tell me about 'All Black Samsung Galaxy S3 (i9300) Heavy Duty Hybrid Case Combo (Outer Silicone + Inner Hard Shell Case W/ Kickstand)'.
521,0.7930047512054443,0,0,Tell me about 'Crazy Girl So Tight! Vaginal Shrink Gel (small)'.
516,1.0991699695587158,0,0,Tell me about 'Magic Tree House CD Collection Books 9-16'.
518,0.6512691974639893,0,0,Tell me about 'Women Razor, Shaver Handle with Swarovski Crystals'.
526,1.1023130416870117,0,0,Tell me about 'Los Chileros Chile Ancho Powder, 3-Ounce Packages (Pack of 6)'.
533,0.8224596977233887,0,0,Tell me about 'Country Style Writing Desk (Antique White) (30&quot;H x 48&quot;W x 28&quot;D)'.
544,0.7611510753631592,0,0,Tell me about 'Double Horse DH9116-16 swashplate USA 38cm Double Horse 9116 2.4GHz 4-Channel LCD Display RC Helicopter W/Gyro replacement parts'.
518,0.9500203132629395,0,0,Tell me about 'Fisher-Price: Kid Tough Doodler - Pink'.
514,0.7970471382141113,0,0,Tell me about 'Beginning Visual C# 2012 Programming'.
522,0.8336970806121826,0,0,Tell me about 'Gretsch G2224 Junior Jet Electric Bass Guitar II - Tobacco Sunburst'.
514,0.6658554077148438,0,0,Tell me about 'Dear Austin: Letters from the Underground Railroad'.
511,0.70318603515625,0,0,Tell me about 'Gel Toe Separators'.
515,0.703850507736206,0,0,Tell me about 'Teva Men's Katavi Outdoor Sandal'.
515,0.8486192226409912,0,0,Tell me about 'IZOD Men's Flat Front Microfiber Short'.
514,1.2831802368164062,0,0,Tell me about 'Northside Women's Tahoe Waterproof Snow Boot'.
521,0.8487744331359863,0,0,Tell me about 'LG 505C Prepaid Phone With Triple Minutes (Tracfone)'.
515,0.6603755950927734,0,0,Tell me about 'Remembrance Day Lone Soldier Poppy Pin Badge'.
521,0.66841721534729,0,0,Tell me about 'The Hunger Games Finnick Reusable Cup 16oz Victor District 4'.
518,0.5128777027130127,0,0,Tell me about 'Moog DS1138T Steering Center Link Tie Rod End'.
515,0.9922864437103271,0,0,Tell me about 'Secret Wishes Sugar Plum Fairy Costume With Wings'.
523,0.6714136600494385,0,0,Tell me about 'Uoften (TM) Keyhole with Metal Buckle Bodycon Pencil Party Dress'.
531,0.602330207824707,0,0,Tell me about 'Redken Blonde Glam 10.1 oz. Shampoo + 8.5 oz. Conditioner (Combo Deal)'.
514,1.1700842380523682,0,0,Tell me about 'Dockers Men's Catalina Slip-On'.
530,0.9434223175048828,0,0,Tell me about 'Dr. Woods Ideal Skin Care, Pure Black Soap with Shea Butter, 32-Ounce (Pack of 12)'.
522,0.6056222915649414,0,0,Tell me about 'Redating Matthew, Mark and Luke: A Fresh Assault on the Synoptic Problem'.
520,0.6936979293823242,0,0,Tell me about 'Graco SnugRide Classic Connect Infant Car Seat Base, Tan'.
533,0.6965761184692383,0,0,Tell me about 'Impressions 1500 Series Wrinkle Resistant King/California King Duvet Cover 3-pc Set Solid, Tan'.
510,1.289567470550537,0,0,Tell me about 'LEKI Performance Basket'.
517,0.7427184581756592,0,0,Tell me about 'Clarks Women's Mullen Spice Knee-High Boot'.
524,0.9756205081939697,0,0,Tell me about 'For the Sender: Love Is (Not a Feeling): &quot;Includes CD&quot;'.
548,0.594785213470459,0,0,Tell me about '&quot;La Sante&quot;, GLB Cock and Ball Ring . Heavy Duty Stainless steel Chastity Device . Adjustable . Welded by Manhood AcademyTM . Made in USA (2&quot; Ring)'.
516,0.8952453136444092,0,0,Tell me about 'The Midnight Fox (Puffin story books)'.
520,0.6679966449737549,0,0,Tell me about 'Hiport Laptop Battery For Dell PP42L/AB Laptop Notebook Computers'.
518,1.1091094017028809,0,0,Tell me about 'Big Splash! (The Grunt and The Grouch)'.
527,0.6179530620574951,0,0,Tell me about 'Making Things Happen: A Theory of Causal Explanation (Oxford Studies in the Philosophy of Science)'.
526,0.6582474708557129,0,0,Tell me about 'Nude With Back Seam - Beige Opaque Seamed Designer Pantyhose (Tights)'.
533,0.5301039218902588,0,0,Tell me about 'Issey Miyake L'eau D'issey By Issey Miyake For Men. Deodorant Spray 5-Ounces'.
519,0.5486166477203369,0,0,Tell me about 'Vibrant Multicolored Polka Dot Infinity Loop Scarf'.
527,1.557035207748413,0,0,Tell me about 'Womanswork 706M Black and White Floral Gauntlet Glove with Synthetic Leather Palm, Medium'.
517,0.723299503326416,0,0,Tell me about 'Purchasing for Chefs: A Concise Guide'.
515,0.7915492057800293,0,0,Tell me about 'Dunecraft Cactus Garden Science Kit'.
519,0.7666430473327637,0,0,Tell me about 'Arthur Court Butterfly Pitcher, 2-3/4 Quart'.
